type,nr_processes,grid_dim,matrix_size,solver,linear_system,time,iterations,precision,damping_parameter,step_size_h,SPEEDUP,EFFICENCY
serial,1,54,2809,gauss-seidel,five-point,94.5871,8364,1.00E-11,1,0.0185185,,
serial,1,55,2916,damped-jacobi,five-point,267.039,17361,1.00E-11,1,0.0181818,,
serial,1,55,2916,gauss-seidel,five-point,105.66,8678,1.00E-11,1,0.0181818,,
serial,1,56,3025,damped-jacobi,five-point,298.098,18014,1.00E-11,1,0.0178571,,
serial,1,56,3025,gauss-seidel,five-point,117.691,8996,1.00E-11,1,0.0178571,,
serial,1,57,3136,damped-jacobi,five-point,332.785,18681,1.00E-11,1,0.0175439,,
serial,1,57,3136,gauss-seidel,five-point,131.572,9320,1.00E-11,1,0.0175439,,
serial,1,58,3249,damped-jacobi,five-point,369.653,19364,1.00E-11,1,0.0172414,,
serial,1,58,3249,gauss-seidel,five-point,145.468,9651,1.00E-11,1,0.0172414,,
serial,1,59,3364,damped-jacobi,five-point,409.632,20016,1.00E-11,1,0.0169492,,
serial,1,59,3364,gauss-seidel,five-point,161.059,9986,1.00E-11,1,0.0169492,,
serial,1,60,3481,damped-jacobi,five-point,453.955,20698,1.00E-11,1,0.0166667,,
serial,1,60,3481,gauss-seidel,five-point,178.372,10328,1.00E-11,1,0.0166667,,
serial,1,3,4,damped-jacobi,nine-point,8.47E-06,25,1.00E-11,0.666667,0.333333,,
serial,1,3,4,gauss-seidel,nine-point,8.30E-06,14,1.00E-11,0.666667,0.333333,,
serial,1,4,9,damped-jacobi,nine-point,2.21E-05,67,1.00E-11,0.666667,0.25,,
serial,1,4,9,gauss-seidel,nine-point,1.24E-05,20,1.00E-11,0.666667,0.25,,
serial,1,5,16,damped-jacobi,nine-point,3.76E-05,53,1.00E-11,0.666667,0.2,,
serial,1,5,16,gauss-seidel,nine-point,2.26E-05,24,1.00E-11,0.666667,0.2,,
serial,1,6,25,damped-jacobi,nine-point,0.000126736,84,1.00E-11,0.666667,0.166667,,
serial,1,6,25,gauss-seidel,nine-point,3.99E-05,25,1.00E-11,0.666667,0.166667,,
serial,1,7,36,damped-jacobi,nine-point,0.000205319,69,1.00E-11,0.666667,0.142857,,
serial,1,7,36,gauss-seidel,nine-point,8.17E-05,28,1.00E-11,0.666667,0.142857,,
serial,1,8,49,damped-jacobi,nine-point,0.000573397,89,1.00E-11,0.666667,0.125,,
serial,1,8,49,gauss-seidel,nine-point,0.000145867,28,1.00E-11,0.666667,0.125,,
serial,1,9,64,damped-jacobi,nine-point,0.00084694,77,1.00E-11,0.666667,0.111111,,
serial,1,9,64,gauss-seidel,nine-point,0.000260382,29,1.00E-11,0.666667,0.111111,,
serial,1,10,81,damped-jacobi,nine-point,0.00157457,89,1.00E-11,0.666667,0.1,,
serial,1,10,81,gauss-seidel,nine-point,0.000397579,29,1.00E-11,0.666667,0.1,,
serial,1,11,100,damped-jacobi,nine-point,0.0010526,81,1.00E-11,0.666667,0.0909091,,
serial,1,11,100,gauss-seidel,nine-point,0.000299903,30,1.00E-11,0.666667,0.0909091,,
serial,1,12,121,damped-jacobi,nine-point,0.00181311,88,1.00E-11,0.666667,0.0833333,,
serial,1,12,121,gauss-seidel,nine-point,0.000455831,30,1.00E-11,0.666667,0.0833333,,
serial,1,13,144,damped-jacobi,nine-point,0.00258927,83,1.00E-11,0.666667,0.0769231,,
serial,1,13,144,gauss-seidel,nine-point,0.000701423,31,1.00E-11,0.666667,0.0769231,,
serial,1,14,169,damped-jacobi,nine-point,0.0038139,87,1.00E-11,0.666667,0.0714286,,
serial,1,14,169,gauss-seidel,nine-point,0.000996767,31,1.00E-11,0.666667,0.0714286,,
serial,1,15,196,damped-jacobi,nine-point,0.0100798,83,1.00E-11,0.666667,0.0666667,,
serial,1,15,196,gauss-seidel,nine-point,0.00137833,31,1.00E-11,0.666667,0.0666667,,
serial,1,16,225,damped-jacobi,nine-point,0.0123058,86,1.00E-11,0.666667,0.0625,,
serial,1,16,225,gauss-seidel,nine-point,0.00180651,30,1.00E-11,0.666667,0.0625,,
serial,1,17,256,damped-jacobi,nine-point,0.00905831,84,1.00E-11,0.666667,0.0588235,,
serial,1,17,256,gauss-seidel,nine-point,0.00539202,30,1.00E-11,0.666667,0.0588235,,
serial,1,18,289,damped-jacobi,nine-point,0.0118751,85,1.00E-11,0.666667,0.0555556,,
serial,1,18,289,gauss-seidel,nine-point,0.0031098,30,1.00E-11,0.666667,0.0555556,,
serial,1,19,324,damped-jacobi,nine-point,0.0261142,84,1.00E-11,0.666667,0.0526316,,
serial,1,19,324,gauss-seidel,nine-point,0.0078567,30,1.00E-11,0.666667,0.0526316,,
serial,1,20,361,damped-jacobi,nine-point,0.033546,84,1.00E-11,0.666667,0.05,,
serial,1,20,361,gauss-seidel,nine-point,0.00866652,30,1.00E-11,0.666667,0.05,,
serial,1,21,400,damped-jacobi,nine-point,0.0372526,83,1.00E-11,0.666667,0.047619,,
serial,1,21,400,gauss-seidel,nine-point,0.00615388,30,1.00E-11,0.666667,0.047619,,
serial,1,22,441,damped-jacobi,nine-point,0.0431851,83,1.00E-11,0.666667,0.0454545,,
serial,1,22,441,gauss-seidel,nine-point,0.0075478,30,1.00E-11,0.666667,0.0454545,,
serial,1,23,484,damped-jacobi,nine-point,0.0339338,83,1.00E-11,0.666667,0.0434783,,
serial,1,23,484,gauss-seidel,nine-point,0.0172955,30,1.00E-11,0.666667,0.0434783,,
serial,1,24,529,damped-jacobi,nine-point,0.0407379,83,1.00E-11,0.666667,0.0416667,,
serial,1,24,529,gauss-seidel,nine-point,0.0206228,30,1.00E-11,0.666667,0.0416667,,
serial,1,25,576,damped-jacobi,nine-point,0.0632512,83,1.00E-11,0.666667,0.04,,
serial,1,25,576,gauss-seidel,nine-point,0.0239334,30,1.00E-11,0.666667,0.04,,
serial,1,26,625,damped-jacobi,nine-point,0.0573291,83,1.00E-11,0.666667,0.0384615,,
serial,1,26,625,gauss-seidel,nine-point,0.0277777,30,1.00E-11,0.666667,0.0384615,,
serial,1,27,676,damped-jacobi,nine-point,0.066774,82,1.00E-11,0.666667,0.037037,,
serial,1,27,676,gauss-seidel,nine-point,0.0320753,29,1.00E-11,0.666667,0.037037,,
serial,1,28,729,damped-jacobi,nine-point,0.0778164,82,1.00E-11,0.666667,0.0357143,,
serial,1,28,729,gauss-seidel,nine-point,0.0351857,29,1.00E-11,0.666667,0.0357143,,
serial,1,29,784,damped-jacobi,nine-point,0.0902026,82,1.00E-11,0.666667,0.0344828,,
serial,1,29,784,gauss-seidel,nine-point,0.0237976,29,1.00E-11,0.666667,0.0344828,,
serial,1,30,841,damped-jacobi,nine-point,0.10401,82,1.00E-11,0.666667,0.0333333,,
serial,1,30,841,gauss-seidel,nine-point,0.0410325,29,1.00E-11,0.666667,0.0333333,,
serial,1,31,900,damped-jacobi,nine-point,0.119391,82,1.00E-11,0.666667,0.0322581,,
serial,1,31,900,gauss-seidel,nine-point,0.0452652,29,1.00E-11,0.666667,0.0322581,,
serial,1,32,961,damped-jacobi,nine-point,0.135106,81,1.00E-11,0.666667,0.03125,,
serial,1,32,961,gauss-seidel,nine-point,0.0493539,29,1.00E-11,0.666667,0.03125,,
serial,1,33,1024,damped-jacobi,nine-point,0.165678,81,1.00E-11,0.666667,0.030303,,
serial,1,33,1024,gauss-seidel,nine-point,0.0541452,29,1.00E-11,0.666667,0.030303,,
serial,1,34,1089,damped-jacobi,nine-point,0.18725,81,1.00E-11,0.666667,0.0294118,,
serial,1,34,1089,gauss-seidel,nine-point,0.0603881,29,1.00E-11,0.666667,0.0294118,,
serial,1,35,1156,damped-jacobi,nine-point,0.198464,81,1.00E-11,0.666667,0.0285714,,
serial,1,35,1156,gauss-seidel,nine-point,0.0667023,29,1.00E-11,0.666667,0.0285714,,
serial,1,36,1225,damped-jacobi,nine-point,0.237589,81,1.00E-11,0.666667,0.0277778,,
serial,1,36,1225,gauss-seidel,nine-point,0.0725028,29,1.00E-11,0.666667,0.0277778,,
serial,1,37,1296,damped-jacobi,nine-point,0.267152,81,1.00E-11,0.666667,0.027027,,
serial,1,37,1296,gauss-seidel,nine-point,0.0681447,29,1.00E-11,0.666667,0.027027,,
serial,1,38,1369,damped-jacobi,nine-point,0.298978,81,1.00E-11,0.666667,0.0263158,,
serial,1,38,1369,gauss-seidel,nine-point,0.0879526,29,1.00E-11,0.666667,0.0263158,,
serial,1,39,1444,damped-jacobi,nine-point,0.329068,80,1.00E-11,0.666667,0.025641,,
serial,1,39,1444,gauss-seidel,nine-point,0.0979189,29,1.00E-11,0.666667,0.025641,,
serial,1,40,1521,damped-jacobi,nine-point,0.363821,80,1.00E-11,0.666667,0.025,,
serial,1,40,1521,gauss-seidel,nine-point,0.108484,29,1.00E-11,0.666667,0.025,,
serial,1,41,1600,damped-jacobi,nine-point,0.407166,80,1.00E-11,0.666667,0.0243902,,
serial,1,41,1600,gauss-seidel,nine-point,0.118346,29,1.00E-11,0.666667,0.0243902,,
serial,1,42,1681,damped-jacobi,nine-point,0.439868,80,1.00E-11,0.666667,0.0238095,,
serial,1,42,1681,gauss-seidel,nine-point,0.129851,29,1.00E-11,0.666667,0.0238095,,
serial,1,43,1764,damped-jacobi,nine-point,0.485337,80,1.00E-11,0.666667,0.0232558,,
serial,1,43,1764,gauss-seidel,nine-point,0.143642,29,1.00E-11,0.666667,0.0232558,,
serial,1,44,1849,damped-jacobi,nine-point,0.516069,80,1.00E-11,0.666667,0.0227273,,
serial,1,44,1849,gauss-seidel,nine-point,0.156081,29,1.00E-11,0.666667,0.0227273,,
serial,1,45,1936,damped-jacobi,nine-point,0.572888,80,1.00E-11,0.666667,0.0222222,,
serial,1,45,1936,gauss-seidel,nine-point,0.169764,29,1.00E-11,0.666667,0.0222222,,
serial,1,46,2025,damped-jacobi,nine-point,0.626961,80,1.00E-11,0.666667,0.0217391,,
serial,1,46,2025,gauss-seidel,nine-point,0.186855,29,1.00E-11,0.666667,0.0217391,,
serial,1,47,2116,damped-jacobi,nine-point,0.680259,80,1.00E-11,0.666667,0.0212766,,
serial,1,47,2116,gauss-seidel,nine-point,0.202359,29,1.00E-11,0.666667,0.0212766,,
serial,1,48,2209,damped-jacobi,nine-point,0.732846,79,1.00E-11,0.666667,0.0208333,,
serial,1,48,2209,gauss-seidel,nine-point,0.212529,29,1.00E-11,0.666667,0.0208333,,
serial,1,49,2304,damped-jacobi,nine-point,0.801248,79,1.00E-11,0.666667,0.0204082,,
serial,1,49,2304,gauss-seidel,nine-point,0.232601,28,1.00E-11,0.666667,0.0204082,,
serial,1,50,2401,damped-jacobi,nine-point,0.864008,79,1.00E-11,0.666667,0.02,,
serial,1,50,2401,gauss-seidel,nine-point,0.24643,28,1.00E-11,0.666667,0.02,,
serial,1,51,2500,damped-jacobi,nine-point,0.931507,79,1.00E-11,0.666667,0.0196078,,
serial,1,51,2500,gauss-seidel,nine-point,0.261721,28,1.00E-11,0.666667,0.0196078,,
serial,1,52,2601,damped-jacobi,nine-point,1.01419,79,1.00E-11,0.666667,0.0192308,,
serial,1,52,2601,gauss-seidel,nine-point,0.283641,28,1.00E-11,0.666667,0.0192308,,
serial,1,53,2704,damped-jacobi,nine-point,1.09185,79,1.00E-11,0.666667,0.0188679,,
serial,1,53,2704,gauss-seidel,nine-point,0.311542,28,1.00E-11,0.666667,0.0188679,,
serial,1,54,2809,damped-jacobi,nine-point,1.1757,79,1.00E-11,0.666667,0.0185185,,
serial,1,54,2809,gauss-seidel,nine-point,0.332875,28,1.00E-11,0.666667,0.0185185,,
serial,1,55,2916,damped-jacobi,nine-point,1.271,79,1.00E-11,0.666667,0.0181818,,
serial,1,55,2916,gauss-seidel,nine-point,0.355523,28,1.00E-11,0.666667,0.0181818,,
serial,1,56,3025,damped-jacobi,nine-point,1.36764,79,1.00E-11,0.666667,0.0178571,,
serial,1,56,3025,gauss-seidel,nine-point,0.382952,28,1.00E-11,0.666667,0.0178571,,
serial,1,57,3136,damped-jacobi,nine-point,1.4701,79,1.00E-11,0.666667,0.0175439,,
serial,1,57,3136,gauss-seidel,nine-point,0.41193,28,1.00E-11,0.666667,0.0175439,,
serial,1,58,3249,damped-jacobi,nine-point,1.57182,79,1.00E-11,0.666667,0.0172414,,
serial,1,58,3249,gauss-seidel,nine-point,0.439244,28,1.00E-11,0.666667,0.0172414,,
serial,1,59,3364,damped-jacobi,nine-point,1.67842,78,1.00E-11,0.666667,0.0169492,,
serial,1,59,3364,gauss-seidel,nine-point,0.469467,28,1.00E-11,0.666667,0.0169492,,
serial,1,60,3481,damped-jacobi,nine-point,1.78363,78,1.00E-11,0.666667,0.0166667,,
serial,1,60,3481,gauss-seidel,nine-point,0.502215,28,1.00E-11,0.666667,0.0166667,,
parallel,2,3,4,damped-jacobi,five-point,0.0004285,41,1.00E-11,1,0.333333,,
parallel,2,3,4,gauss-seidel,five-point,0.000461173,22,1.00E-11,1,0.333333,,
parallel,2,4,9,damped-jacobi,five-point,0.00022102,82,1.00E-11,1,0.25,,
parallel,2,4,9,gauss-seidel,five-point,0.000186019,43,1.00E-11,1,0.25,,
parallel,2,5,16,damped-jacobi,five-point,0.000356097,134,1.00E-11,1,0.2,,
parallel,2,5,16,gauss-seidel,five-point,0.000275514,69,1.00E-11,1,0.2,,
parallel,2,6,25,damped-jacobi,five-point,0.000561526,197,1.00E-11,1,0.166667,,
parallel,2,6,25,gauss-seidel,five-point,0.000429221,101,1.00E-11,1,0.166667,,
parallel,2,7,36,damped-jacobi,five-point,0.000994885,272,1.00E-11,1,0.142857,,
parallel,2,7,36,gauss-seidel,five-point,0.000683145,138,1.00E-11,1,0.142857,,
parallel,2,8,49,damped-jacobi,five-point,0.00195246,358,1.00E-11,1,0.125,,
parallel,2,8,49,gauss-seidel,five-point,0.00103601,181,1.00E-11,1,0.125,,
parallel,2,9,64,damped-jacobi,five-point,0.00342325,455,1.00E-11,1,0.111111,,
parallel,2,9,64,gauss-seidel,five-point,0.00167067,230,1.00E-11,1,0.111111,,
parallel,2,10,81,damped-jacobi,five-point,0.00632123,564,1.00E-11,1,0.1,,
parallel,2,10,81,gauss-seidel,five-point,0.00285743,284,1.00E-11,1,0.1,,
parallel,2,11,100,damped-jacobi,five-point,0.0118855,685,1.00E-11,1,0.0909091,,
parallel,2,11,100,gauss-seidel,five-point,0.00500153,345,1.00E-11,1,0.0909091,,
parallel,2,12,121,damped-jacobi,five-point,0.0204746,817,1.00E-11,1,0.0833333,,
parallel,2,12,121,gauss-seidel,five-point,0.00815895,411,1.00E-11,1,0.0833333,,
parallel,2,13,144,damped-jacobi,five-point,0.0350817,960,1.00E-11,1,0.0769231,,
parallel,2,13,144,gauss-seidel,five-point,0.0134431,482,1.00E-11,1,0.0769231,,
parallel,2,14,169,damped-jacobi,five-point,0.0572133,1115,1.00E-11,1,0.0714286,,
parallel,2,14,169,gauss-seidel,five-point,0.0211767,560,1.00E-11,1,0.0714286,,
parallel,2,15,196,damped-jacobi,five-point,0.0808353,1282,1.00E-11,1,0.0666667,,
parallel,2,15,196,gauss-seidel,five-point,0.0332088,643,1.00E-11,1,0.0666667,,
parallel,2,16,225,damped-jacobi,five-point,0.101875,1459,1.00E-11,1,0.0625,,
parallel,2,16,225,gauss-seidel,five-point,0.0493215,732,1.00E-11,1,0.0625,,
parallel,2,17,256,damped-jacobi,five-point,0.130816,1649,1.00E-11,1,0.0588235,,
parallel,2,17,256,gauss-seidel,five-point,0.0699468,827,1.00E-11,1,0.0588235,,
parallel,2,18,289,damped-jacobi,five-point,0.169407,1850,1.00E-11,1,0.0555556,,
parallel,2,18,289,gauss-seidel,five-point,0.0911379,927,1.00E-11,1,0.0555556,,
parallel,2,19,324,damped-jacobi,five-point,0.220922,2062,1.00E-11,1,0.0526316,,
parallel,2,19,324,gauss-seidel,five-point,0.117901,1033,1.00E-11,1,0.0526316,,
parallel,2,20,361,damped-jacobi,five-point,0.291369,2286,1.00E-11,1,0.05,,
parallel,2,20,361,gauss-seidel,five-point,0.153275,1145,1.00E-11,1,0.05,,
parallel,2,21,400,damped-jacobi,five-point,0.379971,2521,1.00E-11,1,0.047619,,
parallel,2,21,400,gauss-seidel,five-point,0.198291,1263,1.00E-11,1,0.047619,,
parallel,2,22,441,damped-jacobi,five-point,0.497687,2768,1.00E-11,1,0.0454545,,
parallel,2,22,441,gauss-seidel,five-point,0.256033,1386,1.00E-11,1,0.0454545,,
parallel,2,23,484,damped-jacobi,five-point,0.642621,3026,1.00E-11,1,0.0434783,,
parallel,2,23,484,gauss-seidel,five-point,0.327211,1515,1.00E-11,1,0.0434783,,
parallel,2,24,529,damped-jacobi,five-point,0.827502,3295,1.00E-11,1,0.0416667,,
parallel,2,24,529,gauss-seidel,five-point,0.419312,1650,1.00E-11,1,0.0416667,,
parallel,2,25,576,damped-jacobi,five-point,1.05634,3576,1.00E-11,1,0.04,,
parallel,2,25,576,gauss-seidel,five-point,0.535135,1790,1.00E-11,1,0.04,,
parallel,2,26,625,damped-jacobi,five-point,1.33645,3869,1.00E-11,1,0.0384615,,
parallel,2,26,625,gauss-seidel,five-point,0.685576,1937,1.00E-11,1,0.0384615,,
parallel,2,27,676,damped-jacobi,five-point,1.67564,4173,1.00E-11,1,0.037037,,
parallel,2,27,676,gauss-seidel,five-point,0.848927,2089,1.00E-11,1,0.037037,,
parallel,2,28,729,damped-jacobi,five-point,2.08992,4489,1.00E-11,1,0.0357143,,
parallel,2,28,729,gauss-seidel,five-point,1.05357,2246,1.00E-11,1,0.0357143,,
parallel,2,29,784,damped-jacobi,five-point,2.58592,4816,1.00E-11,1,0.0344828,,
parallel,2,29,784,gauss-seidel,five-point,1.3082,2410,1.00E-11,1,0.0344828,,
parallel,2,30,841,damped-jacobi,five-point,3.18731,5154,1.00E-11,1,0.0333333,,
parallel,2,30,841,gauss-seidel,five-point,1.63318,2579,1.00E-11,1,0.0333333,,
parallel,2,31,900,damped-jacobi,five-point,3.89961,5505,1.00E-11,1,0.0322581,,
parallel,2,31,900,gauss-seidel,five-point,2.00713,2754,1.00E-11,1,0.0322581,,
